frase,situacao
"sinto dor no peito e falta de ar",alto risco
"tive um leve incômodo nas costas",baixo risco
"sinto palpitações e tontura constante",alto risco
"acordei com dor de cabeça leve",baixo risco
"tenho febre alta e calafrios",médio risco
"sinto dor intensa no abdômen",alto risco
"estou com dor de garganta e tosse seca",médio risco
"meu coração está batendo muito rápido",alto risco
"estou com cansaço e fadiga durante o dia",médio risco
"tenho uma leve dor nas articulações",baixo risco
"sinto formigamento no braço esquerdo",alto risco
"tive um pequeno corte no dedo",baixo risco
"sinto náusea e tontura após comer",médio risco
"estou com dor forte nas costas que irradia para as pernas",médio risco
"tive um desmaio repentino",alto risco
"sinto dor leve na perna direita após caminhada",baixo risco
"estou com febre e dor de cabeça há dois dias",médio risco
"meu peito está apertado e estou suando frio",alto risco
"notei manchas vermelhas na pele",médio risco
"tive dificuldade para respirar durante o sono",alto risco
"tenho tosse persistente há mais de uma semana",médio risco
"sinto enjoo e vontade de vomitar",médio risco
"meu estômago dói quando como alimentos gordurosos",baixo risco
"tive visão embaçada e dor atrás dos olhos",médio risco
"sinto pontadas fortes no peito",alto risco
"meu tornozelo está levemente inchado",baixo risco
"tive sangramento nasal frequente",médio risco
"sinto calafrios e dor muscular",médio risco
"meu batimento cardíaco parece irregular",alto risco
"tive um corte profundo na mão",médio risco
"sinto dor forte na cabeça e sensibilidade à luz",médio risco
"tive dificuldade para falar e mover o braço direito",alto risco
"tenho coceira leve no braço",baixo risco
"sinto dor forte nas costas ao respirar",alto risco
"meus pés estão dormentes à noite",médio risco
"notei inchaço repentino nas pernas",alto risco
"tive febre e dor no corpo após vacina",baixo risco
"sinto dor no peito ao subir escadas",alto risco
"tenho azia frequente e queimação no estômago",médio risco
"sinto tontura ao levantar rapidamente",médio risco
"tive diarreia leve após uma refeição",baixo risco
"sinto dor intensa na região lombar",médio risco
"meu braço esquerdo está dormente e pesado",alto risco
"notei sangramento nas gengivas ao escovar os dentes",baixo risco
"tive dor abdominal e vômito repentino",alto risco
"estou com dor leve na garganta",baixo risco
"sinto aperto no peito e falta de ar ao deitar",alto risco
"tive tremores nas mãos sem motivo aparente",médio risco
"sinto dor nos músculos após o exercício",baixo risco
"tive perda de consciência por alguns segundos",alto risco
"notei aumento da frequência cardíaca em repouso",médio risco
