frase,matches_encontrados,doencas_sugeridas
Há dois dias estou com uma dor no peito que piora quando faço esforço físico e melhora quando descanso.,dor no peito,Infarto agudo do miocardio
"Sinto cansaço constante há uma semana, mesmo depois de dormir bem e evitar atividades pesadas.",cansaco constante; cansaco,Insuficiencia cardiaca; Insuficiencia cardiaca investigar
Tenho sentido falta de ar ao subir escadas e um leve aperto no peito que vem e vai durante o dia.,falta de ar,Angina
"Há três dias sinto tontura e palpitações repentinas, principalmente quando fico em pé por muito tempo.",palpitacoes; tontura,Arritmia; Arritmia investigar; Sincopa cardiogenica
"Desde ontem estou com inchaço nas pernas e tornozelos, e percebi que estou urinando menos que o normal.",inchaco nas pernas,Insuficiencia cardiaca descompensada
Tenho sentido dores de cabeça e uma sensação de pressão no peito toda vez que fico nervoso ou ansioso.,pressao no peito,Angina
Sinto uma dor leve nas costas e um desconforto no peito quando respiro fundo há cerca de quatro dias.,,
Estou com uma tosse seca persistente há mais de uma semana e às vezes sinto falta de ar ao deitar.,falta de ar; falta de ar ao deitar; tosse seca persistente; tosse seca,Insuficiencia cardiaca; Angina; Pneumonia atipica
Há cerca de dois dias senti uma dor forte no peito que irradiou para o braço esquerdo e veio acompanhada de suor frio.,suor frio,Choque cardiogenico; Sindrome coronariana aguda
"Tenho percebido batimentos acelerados e irregulares nas últimas 48 horas, o que tem me deixado muito cansado e preocupado.",batimentos acelerados,Arritmia
